label,text
Phishing,"Dear user, your account has been suspended. Please verify your account immediately by clicking the link below."
Phishing,"Urgent action required: login now to confirm your password before your bank account is locked."
Phishing,"We detected unusual activity on your wallet. Click this secure link to update your recovery phrase."
Phishing,"Your payment failed and your subscription will expire today. Update billing information at http://billing-check.example."
Phishing,"Congratulations, you won a gift card. Confirm your identity and enter your password to claim the reward."
Phishing,"Security alert: your mailbox storage is full. Verify emailtoken and reset your password using the attached link."
Phishing,"A new device attempted login to your account. Click the link to secure your account immediately."
Phishing,"Your invoice is overdue. Download the document and confirm payment details within 24 hours."
Phishing,"Bank notice: rekening anda akan diblokir, klik tautan ini untuk verifikasi akun segera."
Phishing,"Your payroll deposit is on hold. Update your employee portal password to release funds."
Phishing,"Final warning: account suspended due to failed verification. Visit www.account-review.example now."
Phishing,"You received a secure document. Login with your office password to view the file."
Phishing,"OTP verification required. Send the code to our support agent to prevent account closure."
Phishing,"Your cloud files will be deleted unless you verify your account and payment method."
Phishing,"We found suspicious transactions. Confirm your bank login to stop the transfer."
Phishing,"Your package delivery failed. Pay a small redelivery fee through this link."
Phishing,"Important tax refund pending. Submit your credential details to receive the refund."
Phishing,"Your social media account is locked. Reset password at https://social-reset.example."
Phishing,"Limited time security upgrade. Click here to update your account before midnight."
Phishing,"Admin notice: login portal migration requires immediate password confirmation."
Phishing,"A document has been shared with you. Verify your Microsoft account to continue."
Phishing,"Your credit card has been restricted. Confirm identity and billing address now."
Phishing,"Peringatan keamanan, akun anda terdeteksi login asing, klik link untuk amankan akun."
Phishing,"Password expiration notice. Keep access by entering your current password on the secure page."
Phishing,"Your bank requires profile update. Failure to update will suspend online access."
Phishing,"Someone requested a wire transfer from your account. Login immediately to cancel."
Phishing,"Payment confirmation failed. Re-enter card number and password to avoid service interruption."
Phishing,"Your email will be deactivated today. Click the verification link to keep your inbox active."
Phishing,"Hadiah pulsa menunggu. Masukkan OTP dan kata sandi untuk klaim hadiah."
Phishing,"Account review notice: confirm your credential within one hour to prevent permanent lock."
Phishing,"Your crypto wallet has been compromised. Enter seed phrase to secure the wallet."
Phishing,"IT helpdesk requires password validation after a system upgrade. Reply with your password."
Phishing,"Subscription refund available. Login to our portal and verify card information."
Phishing,"New terms require account verification. Click the secure update button now."
Phishing,"A large payment is pending approval. Open the link and confirm your banking details."
Phishing,"Mailbox quarantine alert. Release messages by signing in with your password."
Phishing,"Your student portal account has been suspended. Update login data immediately."
Phishing,"Urgent: invoice attachment requires macro permission to view payment details."
Phishing,"Your internet banking access expires soon. Verify account ownership at the provided link."
Phishing,"Security team detected malware in your inbox. Click the scanner link and enter login credentials."
Legitimate,"Hi team, the project meeting is scheduled for Friday at 10 AM in room 204."
Legitimate,"Your monthly bank statement is ready in the official mobile banking application."
Legitimate,"Thank you for your purchase. Your order has shipped and tracking information is available in your account."
Legitimate,"Reminder: the campus library will close early this Thursday for maintenance."
Legitimate,"Attached is the agenda for tomorrow's class discussion and group presentation."
Legitimate,"Your password was changed successfully. If this was not you, contact support through the official website."
Legitimate,"The IT department will perform scheduled maintenance on Saturday from 1 AM to 3 AM."
Legitimate,"Please review the draft report and add comments before the end of the week."
Legitimate,"Payment receipt for your subscription is attached for your records."
Legitimate,"Your appointment with the academic advisor is confirmed for Monday afternoon."
Legitimate,"The conference registration desk opens at 8 AM. Bring your printed ticket."
Legitimate,"We have received your application and will send the next update within five business days."
Legitimate,"Team lunch is moved to the cafeteria because the main hall is unavailable."
Legitimate,"Your package was delivered to the front desk at 2 PM today."
Legitimate,"The lecture slides for machine learning week five are now available in the course portal."
Legitimate,"Please find the signed contract attached. No further action is required at this time."
Legitimate,"A new comment was added to your shared document by the project coordinator."
Legitimate,"Your account profile update was completed from the official settings page."
Legitimate,"The finance office confirms your tuition payment has been posted."
Legitimate,"Reminder to submit your assignment through the learning management system before Sunday."
Legitimate,"Customer support received your ticket and assigned it to the billing team."
Legitimate,"Your flight itinerary has been updated due to a schedule change by the airline."
Legitimate,"Meeting notes from today's retrospective are saved in the shared drive."
Legitimate,"The school portal will be unavailable during planned maintenance this weekend."
Legitimate,"Thank you for attending the cybersecurity awareness workshop."
Legitimate,"Your refund request has been approved and will be processed by the finance team."
Legitimate,"Please confirm attendance for the department seminar using the official registration form."
Legitimate,"The HR team updated the holiday calendar for next month."
Legitimate,"Your library book is due next week. Renew it through the official library portal."
Legitimate,"The software license renewal invoice has been sent to the procurement department."
Legitimate,"Your medical appointment reminder: please arrive 15 minutes before the scheduled time."
Legitimate,"We shared the approved design files in the project folder."
Legitimate,"The network team resolved the connection issue reported this morning."
Legitimate,"Your workshop certificate is ready to download from the course dashboard."
Legitimate,"The professor moved office hours to Wednesday because of a faculty meeting."
Legitimate,"Your delivery address was updated successfully after your request."
Legitimate,"The monthly newsletter includes security tips and campus event announcements."
Legitimate,"Procurement approved the purchase request and will contact the vendor."
Legitimate,"Please read the updated privacy policy on the official company website."
Legitimate,"The exam schedule has been published by the academic office."
